pid,iou
5,0.6958500952784248
8,0.7613054252328668
13,0.6693361095539361
16,0.0070135829723564636
18,0.46567069294342023
21,0.13243981452073939
36,0.45926435201100035
44,0.03900659972811034
52,1.0
55,0.871477871743335
60,0.6646356979275637
61,0.15978140580255787
67,0.7243066884176182
73,0.6567834681042228
74,0.5620814711149233
77,0.5991661918843882
82,0.14363762422001386
91,0.7255031303221473
93,0.6340279760205538
99,0.8852147670213596
116,0.616710457172885
120,0.7501546892955008
130,0.7881229578403071
140,0.8421744668611579
148,0.014144700888795138
153,0.7224239834793136
154,0.6113778032528481
162,0.6572372561359345
164,0.46564030483385677
169,0.81293822422319
184,0.8446450757889505
191,0.047664234390150315
194,0.5568248860284258
209,0.7392907080208466
217,0.582917912927883
223,0.008201842098833942
233,0.7738541461169198
242,0.8307867978902724
249,0.7850685331000291
