pid,iou
1,0.7942726079079895
2,0.006741350993641425
3,0.7315337423312883
4,0.037480155352413225
6,0.6584049222196424
7,0.19166534118021314
8,0.4816557339968333
9,0.05009481640260614
10,0.6079309242085066
11,0.0
12,0.5193595933926303
13,0.07456780186796787
14,0.02275261124176735
15,0.01917188875716048
16,0.18497691421927578
17,0.24016712797278
18,0.0
19,0.36952146690518783
20,0.03205390185118607
21,0.46804684303831995
22,0.45804693719655093
23,0.11518021064837182
24,0.07677981508990533
25,0.0937759336099585
26,0.6633563904595161
27,0.01959400266721722
28,0.006648862978382389
29,0.013893658988838905
30,0.0
31,0.49414676194978174
32,0.7450611550379731
33,0.7551463929972835
34,0.00016622080144925266
35,0.10576890195944329
36,0.9130510541906256
37,0.0
38,0.36597865216229386
39,0.0
40,0.6177129234992415
41,0.0
42,0.7927923593235018
43,0.00955240174672489
44,0.09639486739527771
45,0.0
46,0.009568147696316306
47,0.8040789581456302
48,0.2525003846745653
49,0.6171171171171171
50,0.007973819323890787
51,0.538426750332118
52,0.8380968245340253
53,0.015001919592039122
54,0.6020307082714215
55,0.5784005569150282
56,0.035550811386599754
57,0.197961105878442
58,0.1993717048234638
59,0.34073647945497676
60,0.011035143661177065
61,0.0
62,0.598011220479054
63,0.016861900664587648
64,0.001178698891741281
65,0.2633304572907679
66,0.5522085743376444
67,0.26133481783880746
68,0.002267902939435786
69,0.2957173897806126
70,0.6830686998899544
71,0.6228454690586357
72,0.13341347410233628
73,8.442523301364311e-06
74,0.5760230992438429
75,0.002489667487588094
76,0.7420994030133611
77,0.5808889716609243
78,0.5000343115950316
79,0.31076923076923074
80,0.006173995330434419
81,0.02601040349546793
82,0.0005163184935382387
83,0.5697283649660456
84,0.45995695093891487
85,0.8165115102065856
86,0.46108125422642987
87,0.014917659247623833
88,0.16213161272091461
89,0.5583971451936659
90,0.010939783562413987
91,0.6378860810268753
92,0.5339256787560747
93,0.7499930360177164
94,0.6833670228125902
95,0.054622878142682144
96,0.6169321039396479
97,0.3179323713704558
98,0.025721977390548774
99,0.8065741743600323
100,0.11971401168366902
101,0.6005412083063709
102,0.15492
103,0.04752649801397651
104,0.07438643839082398
105,0.7581695681084416
106,0.7438773602542531
107,0.5301183994468931
108,0.4521183131589223
109,0.1474297592077913
110,0.019175634097637645
111,0.6510998166972172
112,0.27916148034950644
113,0.08701579609120208
114,0.48836673577516704
