pid,iou
5,0.6959559601947914
8,0.7640743032839222
13,0.7554140899721111
16,0.8219873781694611
18,1.0
21,0.7337229244743696
36,1.0
44,0.7395884161690328
52,1.0
55,0.8891919929304184
60,0.9711528735864706
61,0.1875269952488362
67,0.7802702160006885
73,0.6567834681042228
74,0.5620814711149233
77,0.5999945721497001
82,0.41291727140783746
91,0.727622864273373
93,0.6898148148148148
99,0.8852147670213596
116,0.7071991592222806
120,0.9560304394252733
130,0.9997475111816476
140,0.932441304987661
148,0.5708100968594071
153,0.8224417226392731
154,0.8778255667302655
162,0.8483134774393267
164,0.48531769563594035
169,1.0
184,0.9765019011406844
191,0.7908626502037186
194,0.8517613520667888
209,1.0
217,0.582917912927883
223,0.30445670825024346
233,0.9400642029439399
242,0.9049554125747827
249,0.7862927650028043
