pid,iou
5,0.007591091762808896
8,0.026108814411015487
13,0.28889425239437855
16,0.00045428926808411396
18,0.17278557915622067
21,0.0
36,0.0
44,0.02642124813894546
52,0.009482237538276653
55,0.008862056570555712
60,0.022919832046417444
61,0.0034121471692311715
67,0.5740378011243672
73,0.0018001816070754963
74,0.0368374962162216
77,0.038989703485244546
82,0.0
91,0.023500500105363444
93,0.0
99,0.014870531606577756
116,0.00026931526786065673
120,0.10240708632542839
130,0.007550794937629756
140,0.01807047508094946
148,0.01214733384507699
153,0.002637663721432558
154,0.012939507254152272
162,0.033475527041566956
164,0.02407973559704342
169,0.030272920482896946
184,0.0299719531843903
191,0.0027941561043100084
194,0.005887396520883515
209,0.019976687340704076
217,0.6530954778688918
223,0.0
233,0.008161616820111853
242,0.014653269631257411
249,0.014363174715397165
